Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 1, 10.0, 1.0
Query 2, 3, 30.0, -2.25
Query 3, 1, 10.0, 0.0
Query 4, 1, 10.0, 0.0
Query 5, 4, 40.0, -5.8
Query 6, 2, 20.0, 0.0
Query 7, 3, 30.0, -3.25
Query 8, 3, 30.0, -20.0
Query 9, 6, 60.0, 0.34285714285714286
Query 10, 0, 0.0, 0.0
Query 11, 3, 30.0, 0.0
Query 12, 4, 40.0, -6.0
Query 13, 0, 0.0, 0.0
Query 14, 1, 10.0, 0.0
Query 15, 1, 10.0, 0.0
Query 16, 4, 40.0, -0.19999999999999996
Query 17, 5, 50.0, 0.25
Query 18, 2, 20.0, -4.0
Query 19, 2, 20.0, 1.0
Query 20, 4, 40.0, -3.7
Query 21, 3, 30.0, -5.5
Query 22, 2, 20.0, -24.0
Query 23, 2, 20.0, -24.0
Query 24, 3, 30.0, 0.0
Query 25, 2, 20.0, -28.0
Query 26, 1, 10.0, 0.0
Query 27, 1, 10.0, 0.0
Query 28, 4, 40.0, -1.9
Query 29, 3, 30.0, -8.0
Query 30, 2, 20.0, -15.0
Query 31, 5, 50.0, -0.6000000000000001
Query 32, 4, 40.0, -11.1
Query 33, 4, 40.0, -1.5
Query 34, 5, 50.0, -0.6499999999999999
Query 35, 3, 30.0, -11.25
Query 36, 4, 40.0, -3.3
Query 37, 1, 10.0, 0.0
Query 38, 1, 10.0, 0.0
Query 39, 3, 30.0, -3.25
Query 40, 3, 30.0, 1.0
Query 41, 5, 50.0, -7.199999999999999
Query 42, 3, 30.0, -5.5
Query 43, 3, 30.0, -12.0
Query 44, 4, 40.0, -0.8
Query 45, 4, 40.0, -9.6
Query 46, 3, 30.0, -9.5
Query 47, 1, 10.0, 0.0
Query 48, 4, 40.0, -1.2000000000000002
Query 49, 6, 60.0, -0.5428571428571429
Query 50, 2, 20.0, -17.0
Query 51, 2, 20.0, -35.0
Query 52, 4, 40.0, -4.3
Query 53, 4, 40.0, -3.2
Query 54, 3, 30.0, 1.0
Query 55, 2, 20.0, -1.0
Query 56, 5, 50.0, -0.6000000000000001
Query 57, 2, 20.0, -60.0
Query 58, 2, 20.0, 0.0
Query 59, 4, 40.0, 0.8
Query 60, 1, 10.0, 0.0
Query 61, 0, 0.0, 0.0
Query 62, 3, 30.0, -11.25
Query 63, 5, 50.0, -3.9000000000000004
Query 64, 4, 40.0, -5.7
Query 65, 3, 30.0, -9.25
Query 66, 3, 30.0, -16.0
Query 67, 2, 20.0, -4.0
Query 68, 5, 50.0, -2.15
Query 69, 2, 20.0, -97.0
Query 70, 2, 20.0, -16.0
Query 71, 5, 50.0, -0.6499999999999999
Query 72, 0, 0.0, 0.0
Query 73, 0, 0.0, 0.0
Query 74, 3, 30.0, -1.0
Query 75, 6, 60.0, -1.1428571428571428
Query 76, 4, 40.0, -6.0
Query 77, 3, 30.0, -2.25
Query 78, 1, 10.0, 0.0
Query 79, 4, 40.0, 0.5
Query 80, 3, 30.0, -7.25
Query 81, 2, 20.0, -4.0
Query 82, 2, 20.0, -25.0
Query 83, 4, 40.0, -1.5
Query 84, 0, 0.0, 0.0
Query 85, 2, 20.0, -15.0
Query 86, 1, 10.0, 1.0
Query 87, 1, 10.0, 0.0
Query 88, 3, 30.0, -7.0
Query 89, 3, 30.0, -4.0
Query 90, 3, 30.0, -3.25
Query 91, 2, 20.0, -80.0
Query 92, 3, 30.0, -6.25
Query 93, 2, 20.0, 0.0
Query 94, 5, 50.0, -2.3
Query 95, 4, 40.0, -1.0
Query 96, 3, 30.0, -11.25
Query 97, 3, 30.0, -17.75
Query 98, 1, 10.0, 0.0
Query 99, 2, 20.0, -63.0
Query 100, 3, 30.0, -5.5
Averages, 2.77, 27.7, -7.74142857142857
